Gazelle,Circuit,"Complete 5 rounds, 50-40-30-20-10 (1st round = 50, 2nd round = 40, etc) of:
Skipping
Sit-ups
Looking for an advanced option? Try completing a Double Under instead of regular skipping.
---
Record your time.",,
Python,Circuit,"Complete 5 rounds:
1 min wall sit
25 squats with floor touch (touch the floor when you squat)
25 jumping jacks (star jumps)
25 mountain climbers
25 high knees (each leg, so 50 total)
---
Record your time.",,
Panther,Circuit,"Complete 5 rounds:
30 walking lunges (total) (or 20 jumping lunges)
10 step-ups (or 5 box jumps)
10 hand-release push-ups (or 5 clap push-ups)
10 ab crunches (or 10 V-ups)
Looking for an advanced option? Try the options in brackets above.
---
Record your time.",,
Rhino,EMOM (Every Minute On the Minute),"At the start of every minute, complete:
10 push-ups
20 squats
1 burpee
Cap yourself at 20 minutes (20 rounds). If you miss a round, your workout is now complete.
If you'd like a more beginner option, try 5 push-ups and 10 squats and no burpee.
If you'd like a more advanced option, go for 25 minutes (25 rounds).
---
Record how many rounds you completed",,
Giraffe,EMOM (Every Minute On the Minute),"At the start of every minute, complete:
6 jumping lunges (alternating lunge)
6 push-ups with shoulder taps (complete 1 push up then tap each shoulder with each hand = 1 rep)
6 v-ups
Cap yourself at 20 minutes (20 rounds). If you miss a round, your workout is now complete.
---
Record how many rounds you completed",,
Zebra,EMOM (Every Minute On the Minute),"At the start of every minute, complete:
10 lunges (5 each leg)
10 push-ups
10 squats
Cap yourself at 20 minutes (20 rounds). If you miss a round, your workout is now complete.
Looking for an advanced option? Try a jumping lunge, a clap push up or a jump squat.
---
Record how many rounds you completed",,
Hippo,EMOM (Every Minute On the Minute),"At the start of every minute, complete:
5 bodyweight squats (or 5 jump squats)
5 sit-ups (or 5 V-ups)
10 hip raises (or 10 feet elevated hip raises)
Cap yourself at 20 minutes (20 rounds). If you miss a round, your workout is now complete.
Looking for an advanced option? Try the options in brackets.
---
Record how many rounds you completed",,
Elephant,Ladder (AMRAP + 1 each round),"You've got 10 minutes on the clock, complete as many rounds as possible:
1 Push-Up
1 Squat
1 Burpee
At the end of each round, add another rep.
E.g. 1 push-up, 1 squat, 1 burpee, then 2 push-ups, 2 squats, 2 burpees, then 3 push-ups, etc.
---
Take a rest to collect your breath and go for a second round → can you beat your original score?

Record how many rounds you completed.",,
Impala,Ladder (AMRAP + 1 each round),"Your goal is to complete as many rounds as possible (AMRAP) in 10 minutes of:
1 burpee + 1 for each round
5 squats
5 push-ups
At the end of each round, add another burpee.
E.g. 1 burpee, 5 squats, 5 push-ups, 2 burpees, 5 squats, 5 push-ups, 3 burpees, 5 squats, 5 push-ups etc.
---
Take a rest to collect your breath and go for a second round → can you beat your original score?

Record how many rounds you completed.",,
Vulture,Ladder (AMRAP + 1 each round),"Your goal is to complete as many rounds as possible (AMRAP) in 10 minutes of:
1 Star Jump
1 Hand Release Push-up
1 High Knee (each leg)
1 V-Up
At the end of each round, add another rep.
E.g. 1 Star Jump, 1 Hand Release Push-up, 1 High Knee (each leg), 1 V-Up then 2 Star Jump, 2 Hand Release Push-up, 2 High Knee (each leg), 2 V-Up etc
---
Take a rest to collect your breath and go for a second round → can you beat your original score?

Record how many rounds you completed.",,
